,_id,name,sku,country,region,type,alcohol,giftbox,volume,description,chilled,quantity,foc,cartonPrice,movingAvgCost,smartPrice,price,pck,metaTitle,metaKeywords,metaDescription,image,isFeatured,bulkDisable,outOfStockType,availabilityDays,availabilityTime,deliveryType,isLoyalty,loyaltyType,dealerData,isSampleProduct,showInterest,bulkPricing,slug,categories,loyalty,shortDescription,status,mainProduct,newTagDuration,newTagDurationReset,updated_at,created_at,imageFiles,rack,barcode,url,api,prisync.name,prisync.category.name,prisync.brand.name,prisync.product_code,prisync.cost,newTillDate.sec,newTillDate.usec,prisyncId,prisync.id,prisync.category.id,prisync.brand.id,prisync.external_ref,prisync.smart_price,prisync.urls,isProductLabel,prisync.barcode,noImage,loyaltyValueType,loyaltyValuePoint,Age in years,brand
0,5f7edfd29ae56e6d7b8b49bc,1792 full proof 70cl,WBO028,USA,Kentucky,Bourbon,62.50%,0,700,"A delicious, full-bodied addition to the 1792 Bourbon range - the 1972 Full Proof is bottled at 62.5% ABV (or 125 proof, if you're in the USA) without any chill-filtration. Robust, intense and impressive.

Nose: Dried oak, maple syrup, burnt sugar and a whiff of nutmeg.

Palate: Burnt sugar again, with a touch of smoke in tow. Toffee pennies and spiced oak.

Finish: Lasting warmth of cinnamon and flaky pastry
",0,9993,0,131,131,169.2,169.2,1,Buy 1792 Full Proof 70cl Online - Free Delivery in Singapore,"1792 Full Proof 70cl free delivery in singapore, buy 1792 Full Proof 70cl online SG, 1792 Full Proof 70cl delivery singapore",Order 1792 Full Proof 70cl in Singapore from our online Alcohol Delivery shop - Alcohaul. Buy 1792 Full Proof 70cl online & get free delivery above $100 anywhere in Singapore.,1792-full-proof-700ml,0,1,2,2,990,0,0,0,"dealerId: 5f7edc259ae56e6d7b8b46b4, cost: 131",0,0,"   from_qty : 2,  to_qty : 5,  smartPrice : 0 ,   from_qty : 6,  to_qty : 10,  smartPrice : 0  ",1792-full-proof-70cl,"5f7edb089ae56e6d7b8b459f, 5f7edfb39ae56e6d7b8b49a3",0,1792 Full Proof 70cl,1,,0,0,21/04/21 6:47,08/10/20 9:45,"source: 5f7edfd29ae56e6d7b8b49bc_0.jpg, label: 1792-full-proof-700ml, order: 1, coverimage: 1",A1-18-F,"code: 080660001159, qty: 1",https://alcohaul.sg/products/1792-full-proof-70cl,https://alcohaul.sg/api/productdetail/?slug=1792-full-proof-70cl,1792 Full Proof 70cl,Whisky,New AH,WBO028,131,1602150354,0,,,,,,,,,,,,,,1792
1,5f7edfd19ae56e6d7b8b49bb,1792 small batch bourbon 70cl,WBO027,USA,Kentucky,Bourbon,46.90%,0,700,"In the year 1792, Kentucky became a state. 1792 Kentucky Bourbon Whiskey is named after that wonderful year. It's a spicy, rye-rich bourbon which is just asking to be enjoyed on a sunny evening with a few ice-cubes.
",0,9988,0,78,78,120,120,1,Buy 1792 Small Batch Bourbon 70cl Online - Free Delivery in Singapore,"1792 Small Batch Bourbon 70cl free delivery in singapore, buy 1792 Small Batch Bourbon 70cl online SG, 1792 Small Batch Bourbon 70cl delivery singapore",Order 1792 Small Batch Bourbon 70cl in Singapore from our online Alcohol Delivery shop - Alcohaul. Buy 1792 Small Batch Bourbon 70cl online & get free delivery above $100 anywhere in Singapore.,1792-small-batch-bourbon-700ml,0,1,2,2,990,0,0,0,"dealerId: 5f7edc259ae56e6d7b8b46b4, cost: 78",0,0,"   from_qty : 2,  to_qty : 5,  smartPrice : 0 ,   from_qty : 6,  to_qty : 10,  smartPrice : 0  ",1792-small-batch-bourbon-70cl,"5f7edb089ae56e6d7b8b459f, 5f7edfb39ae56e6d7b8b49a3",0,1792 Small Batch Bourbon 70cl,1,,0,0,19/02/21 2:09,08/10/20 9:45,"source: 5f7edfd19ae56e6d7b8b49bb_0.jpg, label: 1792-small-batch-bourbon-700ml, order: 1, coverimage: 1",A1-19-F,"code: 080660001203, qty: 1",https://alcohaul.sg/products/1792-small-batch-bourbon-70cl,https://alcohaul.sg/api/productdetail/?slug=1792-small-batch-bourbon-70cl,1792 Small Batch Bourbon 70cl,Whisky,New AH,WBO027,78,1602150353,0,,,,,,,,,,,,,,1792
2,5f7ee0809ae56e6d7b8b4a45,aberfeldy 12yrs 70cl,WSM040,Scotland,Highland Single Malt Scotch Whiskey,Highland Single Malt Scotch Whiskey,40%,Y,700,"Awards: Gold - Highland single malt 12 years and under 2014, World Whiskies Awards Master - Highland &amp; islands up to 12 years, The Scotch Whisky Masters Gold - Highlands &amp; island up to 12 years 2015, The Scotch Whisky Master Gold - Speyside single malts up to 12 years 2014, The Scotch Whisky Master Silver Outstanding - Scotch single malt highland 2017, International Wine &amp; Spirits Competition Silver Outstanding - Scotch single malt highland 2014, International Wine &amp; Spirits Competition Silver Outstanding - Scotch single malt highland 2013, International Wine &amp; Spirits Competition Silver - Distillers&#39; single malts 12 years and under 2014, International Spirits Challenge One by one, The Last Great Malts of Scotland will leave their distillery gates. Full bodied and golden yellow in colour, Aberfeldy 12 Year Old is patiently fermented for longer bringing its famous honeyed notes and making it super smooth. Aged for 12 Years and bottled at 40% ABV. A smooth dram of heather and honey. As golden in hand as the gold in its water source.</p>
",0,868,0,64.17,64.17,79.99,64.17,1,Buy Aberfeldy 12yrs 70cl Online - Free Delivery in Singapore,"Aberfeldy 12yrs 70cl free delivery in singapore, buy Aberfeldy 12yrs 70cl online SG, Aberfeldy 12yrs 70cl delivery singapore",Order Aberfeldy 12yrs 70cl in Singapore from our online Alcohol Delivery shop - Alcohaul. Buy Aberfeldy 12yrs 70cl online & get free delivery above $100 anywhere in Singapore.,aberfeldy-12-years-700ml,0,1,2,2,990,0,0,0,"dealerId: 5f7edc059ae56e6d7b8b4697, cost: 64.17",0,0,"   from_qty : 2,  to_qty : 5,  smartPrice : 78 ,   from_qty : 6,  to_qty : 10,  smartPrice : 77  ",aberfeldy-12yrs-70cl,"5f7edb089ae56e6d7b8b459f, 5f7edb119ae56e6d7b8b45aa",0,Aberfeldy 12yrs 70cl,1,,0,0,04/07/21 9:31,08/10/20 9:48,"source: 5f7ee0809ae56e6d7b8b4a45_0.jpg, label: aberfeldy-12-years-700ml, order: 1, coverimage: 1",D6-25-F,"code: 5000277000982, qty: 1",https://alcohaul.sg/products/aberfeldy-12yrs-70cl,https://alcohaul.sg/api/productdetail/?slug=aberfeldy-12yrs-70cl,Aberfeldy 12yrs 70cl,Whisky,New AH,WSM040,64.17,1602150528,0,,,,,,,,,,,,,12yr,aberfeldy
3,5f7ee13f9ae56e6d7b8b4ad6,aberfeldy 16yrs 70cl,WSM236,Scotland,Highland,Single Malt Whisky,40%,Y,700,"Aberfeldy 16 Year Old was released in 2015 as part of The Last Great Malts series. Matured in a combination of bourbon and sherry casks, this has lovely balance between sweetness and spiciness.</p>
",0,0,0,95,95,131,95,1,Buy Aberfeldy 16yrs 70cl Online - Free Delivery in Singapore,"Aberfeldy 16yrs 70cl free delivery in singapore, buy Aberfeldy 16yrs 70cl online SG, Aberfeldy 16yrs 70cl delivery singapore",Order Aberfeldy 16yrs 70cl in Singapore from our online Alcohol Delivery shop - Alcohaul. Buy Aberfeldy 16yrs 70cl online & get free delivery above $100 anywhere in Singapore.,aberfeldy-16-years-700ml,0,1,2,2,990,0,0,0,"dealerId: 5f7edc059ae56e6d7b8b4697, cost: 95",0,0,"   from_qty : 2,  to_qty : 5,  smartPrice : 128 ,   from_qty : 6,  to_qty : 10,  smartPrice : 127  ",aberfeldy-16yrs-70cl,"5f7edb089ae56e6d7b8b459f, 5f7edb119ae56e6d7b8b45aa",0,Aberfeldy 16yrs 70cl,1,,0,0,10/12/20 9:42,08/10/20 9:51,"source: 5f7ee13f9ae56e6d7b8b4ad6_0.jpg, label: aberfeldy-16-years-700ml, order: 1, coverimage: 1",D6-26-F,,https://alcohaul.sg/products/aberfeldy-16yrs-70cl,https://alcohaul.sg/api/productdetail/?slug=aberfeldy-16yrs-70cl,Aberfeldy 16yrs 70cl,Whisky,New AH,WSM236,95,1602150719,0,,,,,,,,,,,,,16yr,aberfeldy
4,5f7ee0979ae56e6d7b8b4a57,aberfeldy 21 years old 75cl,WSM059,Scotland,Highland,Single Malt Whisky,40%,Y,750,"Nose: Honey, fruity. Thick malt, enlivened by a fresh, zesty quality. Palate: Smooth, vanilla, undulating, refined smoke. Finish: Peters out gently, perhaps some ripe white peach notes and a good wave of honey.</p>
",0,0,0,0,211.95,211.95,211.95,0,Buy Aberfeldy 21 Years Old 75cl Online - Free Delivery in Singapore,"Aberfeldy 21 Years Old 75cl free delivery in singapore, buy Aberfeldy 21 Years Old 75cl online SG, Aberfeldy 21 Years Old 75cl delivery singapore",Order Aberfeldy 21 Years Old 75cl in Singapore from our online Alcohol Delivery shop - Alcohaul. Buy Aberfeldy 21 Years Old 75cl online & get free delivery above $100 anywhere in Singapore.,aberfeldy-21-years-old-750ml,0,1,2,2,990,0,0,0,"dealerId: 5f846d425f2f3d44368b4568, cost: 211.95",0,0,"   from_qty : 2,  to_qty : 5,  smartPrice : 211 ,   from_qty : 6,  to_qty : 10,  smartPrice : 211  ",aberfeldy-21-years-old-75cl,"5f7edb089ae56e6d7b8b459f, 5f7edb119ae56e6d7b8b45aa",0,Aberfeldy 21 Years Old 75cl,1,,0,0,22/10/20 2:44,08/10/20 9:49,"source: 5f7ee0979ae56e6d7b8b4a57_0.png, label: aberfeldy-21-years-old-750ml, order: 1, coverimage: 1",,,https://alcohaul.sg/products/aberfeldy-21-years-old-75cl,https://alcohaul.sg/api/productdetail/?slug=aberfeldy-21-years-old-75cl,Aberfeldy 21 Years Old 75cl,WHISKY,New AH,WSM059,211.95,1602150551,0,8456190,8456190,355639,548458,,undefined,[],,,,,,21 year,aberfeldy
5,5f7ee0f89ae56e6d7b8b4aa3,aberlour 12yrs 70cl,WSM157,Scotland,Speyside,Single Malt Whisky,40%,Y,700,"Awards: Gold - Scotch Single Malt - Speyside - 2017, International Wine &amp; Spirit Competition Gold - Speyside Single Malts up to 12yo - 2015, The Scotch Whisky Masters (The Spirits Business) Gold - Distillers&#39; Single Malts 12 years and under - 2014, International Spirits Challenge Silver - Speyside Single Malts up to 12yo - 2014, The Scotch Whisky Masters (The Spirits Business) Silver Outstanding - Scotch Single Malt - Speyside - 2013, International Wine &amp; Spirit Competition Silver - Scotch Single Malt - Speyside - 2014, International Wine &amp; Spirit The fantastic and always popular Aberlour 12 Year Old, matured in both traditional oak and sherry casks, now bottled at 40% abv. Nose: Soft and rounded, with fruity notes of red apple. Palate: A fine sherried character, balanced with rich chocolate, toffee, cinnamon and ginger spiciness. Finish: Warming and lingering sweet and slightly spicy.</p>
",0,79,0,243,81,109,81,3,Buy Aberlour 12yrs 70cl Online - Free Delivery in Singapore,"Aberlour 12yrs 70cl free delivery in singapore, buy Aberlour 12yrs 70cl online SG, Aberlour 12yrs 70cl delivery singapore",Order Aberlour 12yrs 70cl in Singapore from our online Alcohol Delivery shop - Alcohaul. Buy Aberlour 12yrs 70cl online & get free delivery above $100 anywhere in Singapore.,aberlour-12-years-700ml,0,1,2,2,990,0,0,0,"dealerId: 5f7edb059ae56e6d7b8b459b, cost: 81",0,0,"   from_qty : 2,  to_qty : 5,  smartPrice : 106 ,   from_qty : 6,  to_qty : 10,  smartPrice : 105  ",aberlour-12yrs-70cl,"5f7edb089ae56e6d7b8b459f, 5f7edb119ae56e6d7b8b45aa",0,Aberlour 12yrs 70cl,1,,0,0,06/07/21 12:22,08/10/20 9:50,"source: 5f7ee0f89ae56e6d7b8b4aa3_0.jpg, label: aberlour-12-years-700ml, order: 1, coverimage: 1",D1-13-F,"code: 3047100243774, qty: 1",https://alcohaul.sg/products/aberlour-12yrs-70cl,https://alcohaul.sg/api/productdetail/?slug=aberlour-12yrs-70cl,Aberlour 12yrs 70cl,Whisky,New AH,WSM157,81,1602150648,0,,,,,,,,,,,,,12yr,aberlour
6,5f7ee1409ae56e6d7b8b4ad7,aberlour 16yrs 70cl,WSM237,Scotland,Speyside,Single Malt Whisky,40%,Y,700,"Matured in two types of casks, the traditional oak and sherry oak casks and bottled at a slightly lower abv of 40% than previous editions, this 16 year old Aberlour is bursting with lush plum, raisin and even floral notes. A cracking Speyside malt.</p>
",0,9,0,138,138,186,138,1,Buy Aberlour 16yrs 70cl Online - Free Delivery in Singapore,"Aberlour 16yrs 70cl free delivery in singapore, buy Aberlour 16yrs 70cl online SG, Aberlour 16yrs 70cl delivery singapore",Order Aberlour 16yrs 70cl in Singapore from our online Alcohol Delivery shop - Alcohaul. Buy Aberlour 16yrs 70cl online & get free delivery above $100 anywhere in Singapore.,aberlour-16-years-700ml,0,1,2,2,990,0,0,0,"dealerId: 5f7edb059ae56e6d7b8b459b, cost: 138",0,0,"   from_qty : 2,  to_qty : 5,  smartPrice : 183 ,   from_qty : 6,  to_qty : 10,  smartPrice : 182  ",aberlour-16yrs-70cl,"5f7edb089ae56e6d7b8b459f, 5f7edb119ae56e6d7b8b45aa",0,Aberlour 16yrs 70cl,1,,0,0,28/04/21 3:53,08/10/20 9:52,"source: 5f7ee1409ae56e6d7b8b4ad7_0.jpg, label: aberlour-16-years-700ml, order: 1, coverimage: 1",D1-14-F,"code: 5000299298022, qty: 1",https://alcohaul.sg/products/aberlour-16yrs-70cl,https://alcohaul.sg/api/productdetail/?slug=aberlour-16yrs-70cl,Aberlour 16yrs 70cl,Whisky,New AH,WSM237,138,1602150720,0,,,,,,,,,,,,,16yr,aberlour
7,5f7ee0fa9ae56e6d7b8b4aa4,aberlour 18yrs 50cl,WSM158,Scotland,Speyside,Single Malt Whisky,43%,Y,500,"Awards: 2nd Place - Best Single Malt Scotch 18 Years - 2015, International Whisky Competition Gold - Distillers&#39; Single Malts between 13 and 20 years old - 2014, International Spirits Challenge Gold - Scotch Single Malt - Speyside - 2014, International Wine &amp; Spirit Competition Gold - Single Malt Scotch - 13 to 19 Yrs - 2013, San Francisco World Spirits Competition Silver Outstanding - Scotch Single Malt - Speyside - 2017, International Wine &amp; Spirit Competition Bronze - Premium - 2013, Malt Maniacs Awards Silver Outstanding - Scotch Single Malt - Speyside - 2013, International Wine &amp; Spirit This rich, spicy 18 year old from Aberlour was only released for general consumption in 2008, prior to this it had only been produced for the French market. Nose: Creamy, like melted vanilla ice-cream. Fruity and honeyed. Palate: Fresh juicy apples and oranges before sherry kicks in with supple sultanas and vanilla. Finish: Intricate with chocolate raisins and oily caramel notes.</p>
",0,4,0,215,215,285.6,215,1,Buy Aberlour 18yrs 70cl Online - Free Delivery in Singapore,"Aberlour 18yrs 70cl free delivery in singapore, buy Aberlour 18yrs 70cl online SG, Aberlour 18yrs 70cl delivery singapore",Order Aberlour 18yrs 70cl in Singapore from our online Alcohol Delivery shop - Alcohaul. Buy Aberlour 18yrs 70cl online & get free delivery above $100 anywhere in Singapore.,aberlour-18-years-700ml,0,1,2,2,990,0,0,0,"dealerId: 5f7edb059ae56e6d7b8b459b, cost: 215",0,0,"   from_qty : 2,  to_qty : 5,  smartPrice : 283 ,   from_qty : 6,  to_qty : 10,  smartPrice : 282  ",aberlour-18yrs-50cl,"5f7edb089ae56e6d7b8b459f, 5f7edb119ae56e6d7b8b45aa",0,Aberlour 18yrs 70cl,1,,0,0,25/06/21 6:03,08/10/20 9:50,"source: 5f7ee0fa9ae56e6d7b8b4aa4_0.jpg, label: aberlour-18-years-700ml, order: 1, coverimage: 1",D1-15-F,"code: 5000299620144, qty: 1",https://alcohaul.sg/products/aberlour-18yrs-50cl,https://alcohaul.sg/api/productdetail/?slug=aberlour-18yrs-50cl,Aberlour 18yrs 70cl,Whisky,New AH,WSM158,215,1602150650,0,,,,,,,,,,,,,18yr,aberlour
8,5f7edff79ae56e6d7b8b49dc,akashi blended white oak 50cl,WJP026,Japan,Eigashima,Blended Whisky,40%,0,500,"A lesser-known whisky outside the local Japanese market, this version of Akashi is specially produced for the European market using a mixture of Japanese and foreign-made malt and grain whisky to produce a reasonably priced everyday blend.</p>
",0,964,0,36.5,36.5,48.9,36.5,1,Buy Akashi Blended White Oak 50cl Online - Free Delivery in Singapore,"Akashi Blended White Oak 50cl free delivery in singapore, buy Akashi Blended White Oak 50cl online SG, Akashi Blended White Oak 50cl delivery singapore",Order Akashi Blended White Oak 50cl in Singapore from our online Alcohol Delivery shop - Alcohaul. Buy Akashi Blended White Oak 50cl online & get free delivery above $100 anywhere in Singapore.,akashi-white-oak-500ml,0,1,2,2,990,0,0,0,"dealerId: 5f7edc689ae56e6d7b8b46ed, cost: 36.5",0,0,"   from_qty : 2,  to_qty : 5,  smartPrice : 47 ,   from_qty : 6,  to_qty : 10,  smartPrice : 46  ",akashi-blended-white-oak-50cl,"5f7edb089ae56e6d7b8b459f, 5f7edb099ae56e6d7b8b45a0",0,Akashi Blended White Oak 50cl,1,,0,0,19/06/21 3:58,08/10/20 9:46,"source: 5f7edff79ae56e6d7b8b49dc_0.jpg, label: akashi-white-oak-500ml, order: 1, coverimage: 1","D2-1-F,D2-2-F","code: 4969265703308, qty: 1",https://alcohaul.sg/products/akashi-blended-white-oak-50cl,https://alcohaul.sg/api/productdetail/?slug=akashi-blended-white-oak-50cl,Akashi Blended White Oak 50cl,Whisky,New AH,WJP026,36.5,1602150391,0,,,,,,,,,,,,,,akashi
9,5f7ee0099ae56e6d7b8b49ea,akashi blue blended whisky 70cl,WJP048,Japan,Eigashima,Blended Malt Whisky,40%,0,700,"Akashi Blue is a blended whisky reserved in Japanese Shochu cask (American Oak) around 2 years. It is aged in bourbon cask before finishing in sherry casks for 1 years. Nose: Fruity, slightly sweet, vanilla Taste: Fresh, spice, oak, hints of peat Finish: Medium, spicy, sweet</p>
",0,87,0,52.09,44,77.8,44,1,Buy Akashi Blue Blended Whisky 70cl Online - Free Delivery in Singapore,"Akashi Blue Blended Whisky 70cl free delivery in singapore, buy Akashi Blue Blended Whisky 70cl online SG, Akashi Blue Blended Whisky 70cl delivery singapore",Order Akashi Blue Blended Whisky 70cl in Singapore from our online Alcohol Delivery shop - Alcohaul. Buy Akashi Blue Blended Whisky 70cl online & get free delivery above $100 anywhere in Singapore.,akashi-blue-blended-whisky-700ml,0,1,2,2,990,0,0,0,"dealerId: 5f7edc0b9ae56e6d7b8b469e, cost: 52.09",0,0,"   from_qty : 2,  to_qty : 5,  smartPrice : 75 ,   from_qty : 6,  to_qty : 10,  smartPrice : 74  ",akashi-blue-blended-whisky-70cl,"5f7edb089ae56e6d7b8b459f, 5f7edb099ae56e6d7b8b45a0",0,Akashi Blue Blended Whisky 70cl,1,,0,0,09/07/21 3:04,08/10/20 9:46,"source: 5f7ee0099ae56e6d7b8b49ea_0.jpg, label: akashi-blue-blended-whisky-700ml, order: 1, coverimage: 1",,"code: 4969265722156, qty: 1}, {code: 4969265522152, qty: 6}, {code: 14969265522159, qty: 6",https://alcohaul.sg/products/akashi-blue-blended-whisky-70cl,https://alcohaul.sg/api/productdetail/?slug=akashi-blue-blended-whisky-70cl,Akashi Blue Blended Whisky 70cl,Whisky,New AH,WJP048,52.09,1602150409,0,,,,,,,,0,,,,,,akashi
