url,api,name,discount_price,price,brand,description,oos,name_in_english
"https://www.ishopchangi.com/en/product/the-balvenie-12-year-old-triple-cask-single-malt-scotch-whisky-1000ml-mp00063046.html?p_collection=HOMEDELIVERYNONTRAVELLER,LANDSIDE#referer=categorylisting",https://www.ishopchangi.com/en/product/the-balvenie-12-year-old-triple-cask-single-malt-scotch-whisky-1000ml-mp00063046.model.json,THE  12 YEAR OLD TRIPLE CASK SINGLE MALT SCOTCH WHISKY 1000ML,113.86,126.51,BALVENIE,"<p>An exquisite marriage of The Balvenie matured for twelve years in three distinct cask types: Oloroso Sherry butts, first-fill Bourbon barrels, and traditional whisky casks &ndash; in a large wooden vessel known as a marrying tun. These new marriages of The Balvenie are made to precise recipes refined over time by our Malt Master David C. Stewart MBE to ensure that each captures the distillery&rsquo;s distinctive rich, smooth and honeyed style. The Balvenie 12 is characterised by subtle spice and honeycomb.</p><br /><p>NOSE: Smooth and sweet with elegant layers of honeycomb and spice</p><br /><p>TASTE: Notes of dried fruits and oak combined with vanilla and cinnamon FINISH: Warm and mellow</p>",,THE-BALVENIE-12-YEAR-OLD-TRIPLE-CASK-SINGLE-MALT-SCOTCH-WHISKY-1000ML
"https://www.ishopchangi.com/en/product/bunnahabhain-an-cladach-50--1000ml-mp00088834.html?p_collection=HOMEDELIVERYNONTRAVELLER,LANDSIDE#referer=categorylisting",https://www.ishopchangi.com/en/product/bunnahabhain-an-cladach-50--1000ml-mp00088834.model.json, AN CLADACH 50% 1000ML,91.0,0.0,BUNNAHABHAIN,"Images shown are for illustration purposes only, vintage may vary.<br /><br />An Cladach from Bunnahabhain is a sherry-driven expression with enough spiced backing it up to balance the sweetness handsomely. A completely un-peated single malt, with an island character.<br /><br /><b>About An Cladach</b><br />An Cladach, meaning ‘The Shore’ in Scots Gaelic, is our third World Traveller Exclusive. Joining Eirigh Na Greine and Cruach Mhona in our Travel Retail line up, An Cladach is as exquisitely layered and complex as its predecessors and as sweet and sherried as you would expect of a Bunnahabhain. This new Traveller Exclusive celebrates the adventurous spirit in us all.<br /><br />Those brave enough to explore new lands, travel the world, and seek out new shores. Our forebears were rewarded with Bunnahabhain - the perfect shore to distil and mature this complex Islay malt. And because all of our whiskies are Un-chillfiltered, you can experience An Cladach (The Shore) in its true and natural form, sea salt and all.",,BUNNAHABHAIN-AN-CLADACH-50--1000ML
"https://www.ishopchangi.com/en/product/auchentoshan-12-years-single-malt-scotch-whisky-mp00093916.html?p_collection=HOMEDELIVERYNONTRAVELLER,LANDSIDE#referer=categorylisting",https://www.ishopchangi.com/en/product/auchentoshan-12-years-single-malt-scotch-whisky-mp00093916.model.json, 12 Years Single Malt Scotch Whisky,67.9,119.0,AUCHENTOSHAN,"<p><span style=""color:blue; font-weight: bold;"">Note: This item will be delivered separately if the order contains items from other merchants</span></p><br><br><br />The Tripled Distilled Single Malt. Auchentoshan (pronouned ‘Aw-khen-tosh-an’) is the only Scottish distillery to insist on triple - not double - distilling every single drop, making it the most delicate tasting scotch single malt highly acclaimed globally since 1823.<br /><br />Matured for over twelve years, this single malt whisky has the tempting aroma of toasted almonds, caramelised toffee<br />and the signature smooth, delicate, Auchentoshan taste.<br /><br />Colour:	Golden honey<br />Nose:	Crème brulee, a burst of citrus and the signature nuttiness and green leafiness of Auchentoshan<br />Palate:	Smooth and sweet with hints of tangerine and lime<br />Finish:	Gingery and slightly drying, with a pleasant lingering nuttiness <br /><br /><p><span style=""font-weight: bold;"">List price includes Duty.</span><p>",,Auchentoshan-12-Years-Single-Malt-Scotch-Whisky
"https://www.ishopchangi.com/en/product/the-balvenie-16-year-old-triple-cask-single-malt-scotch-whisky-700ml-mp00062978.html?p_collection=HOMEDELIVERYNONTRAVELLER,LANDSIDE#referer=categorylisting",https://www.ishopchangi.com/en/product/the-balvenie-16-year-old-triple-cask-single-malt-scotch-whisky-700ml-mp00062978.model.json,THE  16 YEAR OLD TRIPLE CASK SINGLE MALT SCOTCH WHISKY 700ML,146.25,162.5,BALVENIE,"<p>An exquisite marriage of The Balvenie matured for 16 years in three distinct cask types: Oloroso Sherry butts, first-fill Bourbon barrels, and traditional whisky casks &ndash; in a large wooden vessel known as a marrying tun. These new marriages of The Balvenie are made to precise recipes refined over time by our Malt Master David C. Stewart MBE to ensure that each captures the distillery&rsquo;s distinctive rich, smooth and honeyed style. The Balvenie 16 is characterised by vanilla sweetness and delicate fruit.</p><br /><p>NOSE: Rich and complex with hints of vanilla and sweetness</p><br /><p>TASTE: Delicate fruits play with toffee, oak tannin and mellow spice FINISH: Gentle and lingering</p>",,THE-BALVENIE-16-YEAR-OLD-TRIPLE-CASK-SINGLE-MALT-SCOTCH-WHISKY-700ML
"https://www.ishopchangi.com/en/product/laphroaig-4oak-1000ml-gtr-mp00088736.html?p_collection=HOMEDELIVERYNONTRAVELLER,LANDSIDE#referer=categorylisting",https://www.ishopchangi.com/en/product/laphroaig-4oak-1000ml-gtr-mp00088736.model.json, 4OAK 1000ML GTR,84.0,0.0,LAPHROAIG,"<b>Images shown are for illustration purposes only, vintage may vary.</b><br /><br />Laphroaig Four Oak is a fusion of different styles of Laphroaig and creates a golden, creamy peat-smoked Islay malt with toasted vanilla notes.<br />Four different casks are hand-selected for maturation -ex-bourbon barrels, quarter casks, virgin American oak barrels and European oak hogsheads",,LAPHROAIG-4OAK-1000ML-GTR
"https://www.ishopchangi.com/en/product/glenfiddich-reserve-cask-single-malt-scotch-whisky-1000ml-mp00062853.html?p_collection=HOMEDELIVERYNONTRAVELLER,LANDSIDE#referer=categorylisting",https://www.ishopchangi.com/en/product/glenfiddich-reserve-cask-single-malt-scotch-whisky-1000ml-mp00062853.model.json, RESERVE CASK SINGLE MALT SCOTCH WHISKY 1000ML,100.0,0.0,GLENFIDDICH,"<b>Images shown are for illustration purposes only, vintage may vary.</b><br /><br /><p>Matured in distinctive Spanish sherry casks to create a rich and mellow flavour, each individual cask is hand-selected for its flavour profile by our Malt Master, Brian Kinsman. Once selected, casks are married in our unique Solera vat, allowing their complementary flavours to get to know each other and meld together to create a single malt of extraordinary consistency and quality. Deliciously smooth and silky, this expression has a sweet, spicy taste and a complex flavour that develops with each sip. A truly intriguing single malt. COLOUR: Dark golden, walnut</p><br /><p>NOSE: A bold, vibrant aroma with an abundance of spice and oak. Fresh toasted white bread with marmalade. Antique leather and parchment</p><br /><p>TASTE: Deliciously smooth and silky. The sweetness of the spirit and spice of the Spanish oak combine to give a complex, intriguing flavour that evloves in the glass</p><br /><p>FINISH: Very long lasting with an enduring sweetness</p>",,GLENFIDDICH-RESERVE-CASK-SINGLE-MALT-SCOTCH-WHISKY-1000ML
"https://www.ishopchangi.com/en/product/highland-park-spirit-of-the-bear-1000ml-mp00062950.html?p_collection=HOMEDELIVERYNONTRAVELLER,LANDSIDE#referer=categorylisting",https://www.ishopchangi.com/en/product/highland-park-spirit-of-the-bear-1000ml-mp00062950.model.json, SPIRIT OF THE BEAR 1000ML,125.0,0.0,HIGHLAND PARK,"<b>Images shown are for illustration purposes only, vintage may vary.</b><br /><br />Highland Park Spirit of the Bear is a smoky and bold whisky reflects the bear’s resilient and fierce Higly independent character that our Viking ancestors so admired, enhanced with a higher proportion of peated malt.",,HIGHLAND-PARK-SPIRIT-OF-THE-BEAR-1000ML
"https://www.ishopchangi.com/en/product/kavalan-ex-bourbon-oak-single-malt-whisky-1000ml-46--mp00120289.html?p_collection=HOMEDELIVERYNONTRAVELLER,LANDSIDE#referer=categorylisting",https://www.ishopchangi.com/en/product/kavalan-ex-bourbon-oak-single-malt-whisky-1000ml-46--mp00120289.model.json, EX-BOURBON OAK SINGLE MALT WHISKY 1000ML 46%,125.5,0.0,KAVALAN,"<b>Images shown are for illustration purposes only, vintage may vary.</b><br /><br />Kavalan ex-Bourbon Oak dilutes the Solist ex-Bourbon with Kavalan spring water to 46% alcoholic strength. It is incredibly smooth with a soft sweetness, losing the harshness of the alcohol's edge. It has a clean and fresh tropical fruitiness with lingering vanilla, coconut and spices.",,KAVALAN-EX-BOURBON-OAK-SINGLE-MALT-WHISKY-1000ML-46-
"https://www.ishopchangi.com/en/product/bowmore-12-years-single-malt-scotch-whisky-mp00093926.html?p_collection=HOMEDELIVERYNONTRAVELLER,LANDSIDE#referer=categorylisting",https://www.ishopchangi.com/en/product/bowmore-12-years-single-malt-scotch-whisky-mp00093926.model.json, 12 Years Single Malt Scotch Whisky,68.9,109.0,BOWMORE,"<p><span style=""color:blue; font-weight: bold;"">Note: This item will be delivered separately if the order contains items from other merchants</span></p><br><br>
The First Islay Single Malt Whisky. From the Hebridean island of Islay, Bowmore’s roots (and its distillery) go back over 230 years. One sip and you taste the unmistakable smoky peatiness of the first Islay malt.

The Bowmore Balance – Complex yet perfectly balanced, this 12 Years Old reflects the raw essence of Bowmore - thrashing waves, windswept landscapes and generations of tradition. 

Bowmore 12 Years Old has received much critical acclaim; the late, great whisky writer Michael Jackson proclaimed it “remarkably long and complex”.
 

Colour:	Warm amber
Nose:	Subtle lemon and honey, balanced beautifully by Bowmore's trademark peaty smokiness
Palate:	Sweet and delicious heather honey and gentle peat smoke
Finish:	Long, mellow finish 

<p><span style=""font-weight: bold;"">List price includes Duty.</span><p>",,Bowmore-12-Years-Single-Malt-Scotch-Whisky
"https://www.ishopchangi.com/en/product/laphroaig-10-years-single-malt-scotch-whisky-mp00093919.html?p_collection=HOMEDELIVERYNONTRAVELLER,LANDSIDE#referer=categorylisting",https://www.ishopchangi.com/en/product/laphroaig-10-years-single-malt-scotch-whisky-mp00093919.model.json, 10 Years Single Malt Scotch Whisky,82.5,129.0,LAPHROAIG,"<p><span style=""color:blue; font-weight: bold;"">Note: This item will be delivered separately if the order contains items from other merchants</span></p><br><br>In making Laphroaig, malted barley is dried over a peat fire. The smoke from this peat, found only on Islay, gives Laphroaig its particularly rich flavour.

Those enjoying the Laphroaig 10 Years Single Malt Whisky will first notice the bold, smoky taste, followed by a hint of seaweed and a surprising sweetness. This full-bodied variant is the foundation of all Laphroaig expressions and comes with a long finish.

Colour:	Full sparkling gold.
Nose:	Polished leather and tobacco leaves with spicy lemon and clementine zest. Subtle notes of golden syrup and rich heather honey, with autumn leaves, hazelnuts, vanilla fudge and a touch of white pepper and nutmeg. Dried camomile flowers and a touch of passion fruits.
Palate:	Sweet with rich toffee, with dates, maple syrup, praline and crème caramel. Grilled chestnuts with tarte Tatin, marzipan and strong black pepper. Cedar wood, a touch of furniture polish and beeswax.
Finish:	Sweet, long with caramel and spicy buttery fudge. 

<p><span style=""font-weight: bold;"">List price includes Duty.</span><p>",,Laphroaig-10-Years-Single-Malt-Scotch-Whisky
