name,price,url,table_vals,description
Glenfiddich 15 Year Solera Reserve Single Malt 1L w/Gift Box,128,https://www.paneco.com.sg/products/glenfiddich-15-year-solera-reserve-single-malt-1l-w-gift-box,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""1000ml"", ""Brand"": ""Glenfiddich"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
Exemplifying the family’s tradition of innovation, our 15 Year Old expression is created using a technique pioneered by our Malt Master and its warm, spicy flavours are transformed with the alchemy of the Solera Vat.Many claim that the Glenfiddich 15 is the best edition of the Glenfiddich brand. The whiskey was aged in American bourbon barrels, Portuguese sherry barrels, and virgin oak barrels. Then the whiskey was married using the Solera method, which provides the whiskey with flavors of sweet sherry and a guaranteed and uniform quality in each and every bottle. The production and aging methods of the Glenfiddich 15 year old are the first of their kind in the world. The writing ""Solera"" in the name of the whiskey marks the aging method of the Spanish sherry, where in each stage a younger beverage is transferred into a barrels that already contains aged beverage.Aged in European oak sherry casks and new oak casks, the whisky is mellowed in our unique Solera Vat, a large oak tun inspired by the sherry bodegas of Spain and Portugal.
                "
Macallan Quest Single Malt 1L w/ Gift Box,159.9,https://www.paneco.com.sg/products/macallan-quest-single-malt-1l-w-gift-box,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""1000ml"", ""Brand"": ""Macallan"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  A soft blend of citrus fruits balanced with sweet vanilla oak. Each single malt within the range is an exploration of flavour and texture, from vibrant and fresh through to rich and intense, concluding with a whisky that signifies the essence of The Macallan. The Macallan Quest represents the start of the Quest Collection journey, in this lively and fresh whisky.
                "
Teacher's Highland Cream 1L,59.8,https://www.paneco.com.sg/products/teachers-1l,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""1000ml"", ""Brand"": ""Teachers"", ""Gift box"": ""No"", ""Country of origin"": ""Scotland""}","
Teacher’s has been one of the world’s favorite and best recognized blended Scotch Whisky brands since it was first established in 1830. It contains an exceptionally high proportion of malt whisky which produces a smooth, complex product with great consistency. This 1L bottle represents excellent value for this whisky.
                "
The John Walker - Baccarat Crystal Decanter Blue Label 700ml w/ Gift Box,4588,https://www.paneco.com.sg/products/the-john-walker-baccarat-crystal-decanter-blue-label-700ml-w-gift-box,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Johnnie Walker"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
The John Walker is the ultimate celebration of progress - an enduring tribute to the life, vision and legacy of the man who started it all.Known as the Founder’s Blend, it uses only whiskies that would have been familiar to John Walker in his lifetime, some of which come from distilleries that are now silent. Just nine distilleries in total contribute exquisitely-made whiskies, which are blended by hand using traditional methods and in extremely limited quantities, before being married together in a 100-year-old cask.The blend itself is refined, sophisticated, supremely complex, yet harmonious. The magnificent presentation only hints at the experience to follow.
                "
Aberfeldy 12 Year Single Malt 1L w/Gift Box,114.5,https://www.paneco.com.sg/products/aberfeldy-12-year-single-malt-1l-w-gift-box,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""1000ml"", ""Brand"": ""Aberfeldy"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  This whisky is the flagship single malt from the southern Highland distillery of Aberfeldy. This new identity, which is the first re-branding for Aberfeldy since 1999, forms part of a larger plan for its single malts.
                "
Aberfeldy 15 Year - Sherry Finish Single Malt 700ml w/ Gift Box,138,https://www.paneco.com.sg/products/aberfeldy-15-year-sherry-finish-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""43.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Aberfeldy"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  The Aberfeldy 15 Year was finished for 12 years in fine Oak casks before being filled into sweet, Oloroso Sherry casks for an additional maturation period of three years.
                "
Aberfeldy 16 Year Single Malt 1L w/ Gift Box,184.5,https://www.paneco.com.sg/products/aberfeldy-16-year-single-malt-1l-w-gift-box,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""1000ml"", ""Brand"": ""Aberfeldy"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
First planned in 1896 by the sons of John Dewar, Dewar’s Aberfeldy Distillery is the only Scotch whisky distillery built by the Dewar family. Dewar’s was already a highly successful brand of blended whisky, renowned for its quality, and the company needed more single malt whisky to use in its blend.Laid to rest for 16 years in handmade oak casks, this enriched offering is finished in first fill Oloroso sherry casks to impart a subtle fruitful nature and a roundness to the whisky.Tasting note: Exhaling honey, citrus and spicy cloves. Sherried and full like fruitcake, then dabs of rich dark chocolate and a soothing, mouth-coating finish.
                "
Aberlour 10 Year Forest Reserve 700ml w/Gift Box,86.8,https://www.paneco.com.sg/products/aberlour-10-year-forest-reserve-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Aberlour"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
The Aberlour 10 Year Forest Reserve is an expression has been matured in both bourbon and Jerez sherry casks before finishing in French Limousin oak casks. The name pays homage to the distillery's efforts to preserve native woodland which surrounds the distillery.
                "
Aberlour 12 Year Double Cask Matured 1L w/Gift Box,126.4,https://www.paneco.com.sg/products/aberlour-12-year-double-cask-matured-single-malt-1l-w-gift-box,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""1000ml"", ""Brand"": ""Aberlour"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
The 12 year-old expression is a fine example of how the distinctively crisp, citrus character of Aberlour's raw spirit is deftly softened by double cask maturation. Traditional Oak and seasoned Sherry butts are both used to great effect, as the mellowed spirits within are combined to deliver a subtly balanced flavour.Available in 1L for extra value.
                "
Aberlour 12 Year Double Cask Matured 700ml w/Gift Box,99,https://www.paneco.com.sg/products/aberlour-12-year-double-cask-matured-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Aberlour"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  The 12 year-old expression is a fine example of how the distinctively crisp, citrus character of Aberlour’s raw spirit is deftly softened by double cask maturation. Traditional oak and seasoned Sherry butts are both used to great effect, as the mellowed spirits within are combined to deliver a subtly balanced flavour.
                "
